METRIC_L1,METRIC_L2,METRIC_L3,METRIC_L4,METRIC_L5,METRIC_L6,ACCOUNT_ID,DEPARTMENT_ID,CLASS_ID,LOCATION_ID,SUBSIDIARY_ID,ACCOUNT_NAME,DEPARTMENT_NAME
,,,,,,114,,,,22,Estimates,
,,,,,,114,,,,23,Estimates,
,,,,,,114,,,,24,Estimates,
,,,,,,114,,,,25,Estimates,
,,,,,,114,,,,26,Estimates,
,,,,,,114,,,,28,Estimates,
,,,,,,114,,,,29,Estimates,
,,,,,,114,,,,31,Estimates,
,,,,,,114,,,,32,Estimates,
,,,,,,114,,,,33,Estimates,
,,,,,,114,,,,35,Estimates,
,,,,,,114,,,,36,Estimates,
,,,,,,114,,,,37,Estimates,
,,,,,,114,,,,39,Estimates,
,,,,,,114,,,,41,Estimates,
,,,,,,114,,,,42,Estimates,
,,,,,,114,,,,43,Estimates,
,,,,,,114,,,,44,Estimates,
,,,,,,114,,,,45,Estimates,
,,,,,,115,,,,1,Purchase Orders,
,,,,,,115,,,,2,Purchase Orders,
,,,,,,115,,,,3,Purchase Orders,
,,,,,,115,,,,4,Purchase Orders,
,,,,,,115,,,,5,Purchase Orders,
,,,,,,115,,,,6,Purchase Orders,
,,,,,,115,,,,11,Purchase Orders,
,,,,,,115,,,,16,Purchase Orders,
,,,,,,115,,,,19,Purchase Orders,
,,,,,,115,,,,20,Purchase Orders,
,,,,,,115,,,,21,Purchase Orders,
,,,,,,115,,,,22,Purchase Orders,
,,,,,,115,,,,23,Purchase Orders,
,,,,,,115,,,,24,Purchase Orders,
,,,,,,115,,,,25,Purchase Orders,
,,,,,,115,,,,26,Purchase Orders,
,,,,,,115,,,,28,Purchase Orders,
,,,,,,115,,,,29,Purchase Orders,
,,,,,,115,,,,31,Purchase Orders,
,,,,,,115,,,,32,Purchase Orders,
,,,,,,115,,,,33,Purchase Orders,
,,,,,,115,,,,35,Purchase Orders,
,,,,,,115,,,,36,Purchase Orders,
,,,,,,115,,,,37,Purchase Orders,
,,,,,,115,,,,39,Purchase Orders,
,,,,,,115,,,,41,Purchase Orders,
,,,,,,115,,,,42,Purchase Orders,
,,,,,,115,,,,43,Purchase Orders,
,,,,,,115,,,,44,Purchase Orders,
,,,,,,115,,,,45,Purchase Orders,
,,,,,,116,,,,1,Sales Orders,
,,,,,,116,,,,2,Sales Orders,
,,,,,,116,,,,3,Sales Orders,
,,,,,,116,,,,4,Sales Orders,
,,,,,,116,,,,5,Sales Orders,
,,,,,,116,,,,6,Sales Orders,
,,,,,,116,,,,11,Sales Orders,
,,,,,,116,,,,16,Sales Orders,
,,,,,,116,,,,19,Sales Orders,
,,,,,,116,,,,20,Sales Orders,
,,,,,,116,,,,21,Sales Orders,
,,,,,,116,,,,22,Sales Orders,
,,,,,,116,,,,23,Sales Orders,
,,,,,,116,,,,24,Sales Orders,
,,,,,,116,,,,25,Sales Orders,
,,,,,,116,,,,26,Sales Orders,
,,,,,,116,,,,28,Sales Orders,
,,,,,,116,,,,29,Sales Orders,
,,,,,,116,,,,31,Sales Orders,
,,,,,,116,,,,32,Sales Orders,
,,,,,,116,,,,33,Sales Orders,
,,,,,,116,,,,35,Sales Orders,
,,,,,,116,,,,36,Sales Orders,
,,,,,,116,,,,37,Sales Orders,
,,,,,,116,,,,39,Sales Orders,
