ACCOUNT_ID,ACCOUNT_NUMBER,SUBSIDIARY_ID,CLASS_ID,DEPARTMENT_ID,LOCATION_ID,Metric_Mapping
1715,210501,,,,509,Liability
400,101999,,,,520,Assets
406,101802,,,,66,Assets
152,420100,,,,620,Sales
284,700340,,,,536,Field G&A
42,101921,,,,453,Assets
42,101921,,,,440,Assets
400,101999,,,,353,Assets
400,101999,,,,171,Assets
400,101999,,,,58,Assets
400,101999,,,,167,Assets
41,101920,,,,111,Assets
1710,480030,,,,493,Sales
1638,480020,,,,355,Sales
42,101921,,,,139,Assets
42,101921,,,,127,Assets
168,480000,,,,112,Sales
41,101920,,,,112,Assets
400,101999,,,,111,Assets
400,101999,,,,112,Assets
41,101920,,,,121,Assets
277,700280,,,,133,Field G&A
107,210500,,,,363,Liability
102,200000,,,,127,Liability
149,410200,,,,135,Sales
108,210600,,,,118,Liability
1684,690065,,,,438,Marketing & Advertising
200,620105,,,,134,Direct Operating Expense
200,620105,,,,108,Direct Operating Expense
200,620105,,,,118,Direct Operating Expense
200,620105,,,,356,Direct Operating Expense
200,620105,,,,500,Direct Operating Expense
107,210500,,,,497,Liability
1715,210501,,,,135,Liability
152,420100,,,,503,Sales
400,101999,,,,528,Assets
400,101999,,,,519,Assets
41,101920,,,,501,Assets
1201,100010,,,,498,Assets
277,700280,,,,499,Field G&A
102,200000,,,,539,Liability
406,101802,,,,504,Assets
1339,100830,,,,56,
150,410300,,,,169,Sales
267,700130,,,,496,Field G&A
152,420100,,,,523,Sales
400,101999,,,,503,Assets
1714,210430,,,,509,Liability
1714,210430,,,,515,Liability
178,600105,,,,552,Direct Operating Expense
1178,210510,,,,559,Liability
178,600105,,,,519,Direct Operating Expense
248,680020,,,,519,Repairs & Maintenance
248,680020,,,,345,Repairs & Maintenance
102,200000,,,,499,Liability
180,600115,,,,107,Direct Operating Expense
167,460500,,,,508,Sales
42,101921,,,,502,Assets
42,101921,,,,496,Assets
42,101921,,,,142,Assets
42,101921,,,,496,Assets
42,101921,,,,499,Assets
165,460300,,,,525,Sales
287,700360,,,,498,Field G&A
107,210500,,,,141,Liability
107,210500,,,,56,Liability
107,210500,,,,345,Liability
1612,140403,,,,550,Assets
42,101921,,,,529,Assets
42,101921,,,,497,Assets
400,101999,,,,527,Assets
986,460329,,,,521,Sales
205,630105,,,,506,Corporate G&A
974,460323,,,,505,Sales
148,410100,,,,509,Sales
6,100004,,,,513,Assets
984,460328,,,,496,Sales
161,460100,,,,504,Sales
42,101921,,,,511,Assets
40,101901,,,,509,Assets
990,660192,,,,526,Direct Operating Expense
42,101921,,,,503,Assets
162,460125,,,,107,Sales
277,700280,,,,139,Field G&A
150,410300,,,,551,Sales
5,100003,,,,560,Assets
277,700280,,,,362,Field G&A
50,120100,,,,499,Assets
401,660015,,,,519,Direct Operating Expense
107,210500,,,,132,Liability
970,460321,,,,345,Sales
42,101921,,,,132,Assets
39,101900,,,,121,Assets
161,460100,,,,112,Sales
50,120100,,,,452,Assets
1614,140405,,,,362,Assets
152,420100,,,,127,Sales
42,101921,,,,142,Assets
400,101999,,,,118,Assets
400,101999,,,,107,Assets
400,101999,,,,434,Assets
400,101999,,,,447,Assets
400,101999,,,,500,Assets
277,700280,,,,502,Field G&A
39,101900,,,,519,Assets
153,420200,,,,497,Sales
1711,480501,,,,349,Sales
1711,480501,,,,447,Sales
102,200000,,,,118,Liability
400,101999,,,,493,Assets
41,101920,,,,350,Assets
400,101999,,,,63,Assets
1810,100502,,,,517,
153,420200,,,,121,Sales
153,420200,,,,506,Sales
149,410200,,,,60,Sales
153,420200,,,,351,Sales
1711,480501,,,,1,Sales
1711,480501,,,,128,Sales
982,460327,,,,358,Sales
1860,101998,,,,346,Assets
1860,101998,,,,121,Assets
990,660192,,,,170,Direct Operating Expense
1860,101998,,,,365,Assets
1860,101998,,,,122,Assets
1204,100603,,,,137,
972,460322,,,,503,Sales
324,S40002,,,,123,
41,101920,,,,348,Assets
400,101999,,,,108,Assets
277,700280,,,,439,Field G&A
