DIM_CLASS_ID,CLASS_NAME,PARENT_CLASS_NAME,ORGANIZATION_LEVEL_NAME,DIM_ORGANIZATION_ID
637,Sport & Story : Newsletter : Big Blue Brew (Univ of Kentucky),Sport & Story,Tech,TECH
312,Home Team Sports : Non-RSN : Utah Jazz,Home Team Sports,Sports Properties,PSP
308,Home Team Sports : Non-RSN : OK Thunder,Home Team Sports,Sports Properties,PSP
516,Digital Media : Non-RSN : Minnesota Wild - Digital,Digital Media,Media,MEDIA
504,Digital Media : RSN : NBC Sports Philadelphia - Digital,Digital Media,Media,MEDIA
280,Home Team Sports : RSN : Marquee Sports Network,Home Team Sports,Sports Properties,PSP
276,Home Team Sports : RSN : MASN,Home Team Sports,Sports Properties,PSP
255,Playfly Sports Properties : College : Big East Sports Properties,Playfly Sports Properties,Sports Properties,PSP
428,Playfly Sports Properties : College : USC Sports Properties : Harbor Sign,Playfly Sports Properties,Sports Properties,PSP
424,Sport & Story : Newsletter : The Arkansas Brew (U of Arkansas),Sport & Story,Tech,TECH
444,Sport & Story : Newsletter : The Cowboy Brew (Oklahoma State),Sport & Story,Tech,TECH
440,Vision Insights,Vision Insights,Corporate,CORP
448,Playfly Sports Properties : High School : UHSAA Sports Properties,Playfly Sports Properties,Sports Properties,PSP
432,Event Dynamic,Event Dynamic,Global Partnerships,PGP
436,Playfly Global Partnerships : Sales : Premier Partnerships,Playfly Global Partnerships,Global Partnerships,PGP
211,Playfly Global Partnerships : Sales : Playfly Esports,Playfly Global Partnerships,Global Partnerships,PGP
239,Playfly Sports Properties : College : Auburn Sports Properties,Playfly Sports Properties,Sports Properties,PSP
247,Playfly Sports Properties : High School : MHSAA Sports Properties,Playfly Sports Properties,Sports Properties,PSP
251,Playfly Sports Properties : High School : WIAA Sports Properties,Playfly Sports Properties,Sports Properties,PSP
243,Playfly Sports Properties : College : University of Florida,Playfly Sports Properties,Sports Properties,PSP
227,Playfly Sports Properties : College : LSU Sports Properties,Playfly Sports Properties,Sports Properties,PSP
235,Playfly Sports Properties : College : Troy Sports Properties,Playfly Sports Properties,Sports Properties,PSP
231,Playfly Sports Properties : College : Oakland Sports Properties,Playfly Sports Properties,Sports Properties,PSP
219,Playfly Global Partnerships : Sales : Playfly Access,Playfly Global Partnerships,Global Partnerships,PGP
215,Playfly Sports Properties : College,Playfly Sports Properties,Sports Properties,PSP
223,Sport & Story : Subscription,Sport & Story,Tech,TECH
593,Playfly Global Partnerships : Sales : Playfly Access : NY Islanders,Playfly Global Partnerships,Global Partnerships,PGP
672,Home Team Sports : RSN : Nexstar Media Washington DC,Home Team Sports,Sports Properties,PSP
295,Home Team Sports : RSN : Bally Sports SUN Sports,Home Team Sports,Sports Properties,PSP
495,Digital Media : RSN : Marquee Sports Network - Digital,Digital Media,Media,MEDIA
491,Digital Media : RSN : Bally Sports West - Digital,Digital Media,Media,MEDIA
736,Playfly Sports Properties : High School : WHSAA Sports Properties,Playfly Sports Properties,Sports Properties,PSP
299,Home Team Sports : RSN : Bally Sports Great Lakes,Home Team Sports,Sports Properties,PSP
291,Home Team Sports : RSN : Bally Sports San Diego,Home Team Sports,Sports Properties,PSP
601,PF Eliminations,PF Eliminations,Corporate,CORP
499,Digital Media : RSN : NBC Sports Bay Area - Digital,Digital Media,Media,MEDIA
487,Digital Media : RSN : Bally Sports Southeast - Digital,Digital Media,Media,MEDIA
483,Digital Media : RSN : Bally Sports Ohio - Digital,Digital Media,Media,MEDIA
605,Playfly Global Partnerships : Consulting : Experiential & Hospitality,Playfly Global Partnerships,Global Partnerships,PGP
