DIM_LOCATION_ID,Location_Name,Dim_HR_Location_ID,HR_Location_Name
114,MD Germantown,A51,FLAG003-Germantown-Middle
117,MD Hungerford,A60,FLAG005-Rockville-Hungerf
438,MD Pasadena (Hog Neck),B32,FLAG034-Pasadena-Hog Neck
630,MD Randallstown - Liberty Rd,C16,FLAG048-Randallstown-Libe
1278,MD Severn - Donaldson,C00,FLAG043-Severn-Donaldson
635,MD Timonium - Padonia Rd,C31,FLAG052-Timonium-W Padoni
453,MD Waldorf - St. Patricks (Klean Wave),B57,FLAG038-Waldorf-St Patric
368,MD Waldorf (Marquee),B08,FLAG033-Waldorf-Old Washi
569,MD White Plaines - Wawa,B60,FLAG039-White Plaines-Waw
487,Morgantown - Sesame 036,C07,ULTM036-Morgantown-Seasam
11,NJ Brooklawn - Browning Ln,D39,FLAG083-Brooklawn-Kings
6,NJ Vineland - Delsea Dr,D16,FLAG062-Vineland-S Delsea
1303,NY Bayshore - Sunrise Hwy,D18,FLAG064-Bayshore-Sunrise
446,OH Chillicothe - N. Bridge 018,B28,ULTM018-Chillicothe-N Bri
481,OH Dayton - Brandt Pike,B78,ULTM028-Dayton-Brandt Pik
476,OH Fairborn Dayton Yellow Springs,B62,ULTM023-Fairborn-Dayton Y
474,OH Heath Hebron,B66,ULTM021-Heath-Hebron
477,OH Washington Ct Hse Crossings Drive,B64,ULTM024-Washington Courth
473,OH Zanesville 020,B53,ULTM020-Zanesville-Northp
435,OK Bartlesville - Washington (Mr. Klean),B12,OKIE024-Bartlesville-SE W
439,OK Bixby S Memorial (Let's GO),B17,OKIE034-Bixby-S Memorial
447,OK Broken Arrow - Elm (Let's GO),B22,OKIE036-Broken Arrow-S El
365,OK Chickasha - W. Grand (Shine Time),B03,OKIE028-Chickasha-W Grand
62,OK Choctaw - NE 23rd,A34,OKIE007-Choctaw-NE 23rd
67,OK Corp,C49,OKIEHQ1-Oklahoma City-N O
60,OK Del City - SE 29th,A38,OKIE005-Del City-SE 29th
366,OK Duncan - US-81 (Shine Time),B02,OKIE029-Duncan-US-81
167,OK Edmond - E 2nd,B56,OKIE014-Edmond-E 2nd
171,OK Edmond - E Memorial,B58,OKIE017-Edmond-E Memorial
58,OK Edmond - N. Santa Fe,A29,OKIE003-Edmond-N Santa Fe
490,OK Edmond - NW 150th (Foam Wash),B55,OKIE031-Edmond-NW 150th
66,OK Edmond - NW 178th,A31,OKIE011-Edmond-NW 178th
440,OK Jenks - S. Elm (Let's GO),B19,OKIE035-Jenks-S Elm
170,OK Lawton - NW Cache,A99,OKIE016-Lawton-NW Cache
56,OK Moore - S. Telephone,A35,OKIE001-Moore-S Telephone
57,OK Mustang - E. State Hwy 152,A32,OKIE002-Mustang-E State H
61,OK Norman - W Main,A36,OKIE006-Norman-W Main
64,OK OKC - S I 44 (SW 104th),A30,OKIE009-Oklahoma City-S I
108,OK OKC - S Western,A47,OKIE012-Oklahoma City-S W
65,OK OKC - Watermark (May Ave),A37,OKIE010-Oklahoma City-Wat
367,OK OKC/Moore - South Penn (Shine Time),B01,OKIE030-Oklahoma City-S P
441,OK Shawnee - Kickapoo (Let's GO),B18,OKIE037-Shawnee-N Kickapo
434,OK Tulsa - E Admiral (Mr. Klean),B13,OKIE023-Tulsa-E Admiral
493,OK Tulsa - Harvard (Freedom Wash),B52,OKIE038-Tulsa-S Harvard
436,OK Tulsa - N. Lewis (Mr. Klean),B11,OKIE025-Tulsa-Lewis
169,OK Yukon - E Main,A41,OKIE015-Yukon-E Main
63,OK Yukon - NW 10th,A33,OKIE008-Yukon-NW 10th
109,OK Yukon - SW 15th (Tunnel Car Wash),A44,OKIE013-Yukon-SW 15th
12,PA Trooper- Ridge Pike,D17,FLAG063-Trooper-Ridge Pik
8,"PA, Phoenixville - Kimberton Rd",C96,FLAG060-Phoenixville-Kimb
1282,South Boston - Old Halifax,C93,ULTM044-South Boston
1,Spotless Brands,C66,SPTLRMT-PA-Chester-Elvers
1,Spotless Brands,C68,SPTLRMT-TN
1,Spotless Brands,C91,SPTLRMT-DE
1,Spotless Brands,C64,SPTLRMT-OH-Hamilton-Butle
1,Spotless Brands,C67,SPTLRMT-PA-Cumberland-Upp
1,Spotless Brands,E04,SPTLRMT-PA-Cumberland-SS
1,Spotless Brands,D63,SPTLRMT-PA-Chester Spring
1,Spotless Brands,C52,SPTLRMT-AL
1,Spotless Brands,C69,SPTLRMT-TX
1,Spotless Brands,C92,SPTLRMT-AR
1,Spotless Brands,C65,SPTLRMT-PA
1,Spotless Brands,C51,SPTLHQ1-Oakbrook Terrace-
1,Spotless Brands,C56,SPTLRMT-MD
1,Spotless Brands,C58,SPTLRMT-MD-Carroll
1,Spotless Brands,D62,SPTLRMT-NH
1,Spotless Brands,C62,SPTLRMT-NY
1,Spotless Brands,C54,SPTLRMT-FL
1,Spotless Brands,C60,SPTLRMT-MN
1,Spotless Brands,C57,SPTLRMT-MD-Anne Arundel
1,Spotless Brands,C53,SPTLRMT-AL-Shelby
1,Spotless Brands,C63,SPTLRMT-OH
1,Spotless Brands,C55,SPTLRMT-GA
1,Spotless Brands,C59,SPTLRMT-MI-Kent
1,Spotless Brands,C61,SPTLRMT-NJ
359,TN Central Morristown - MLK Parkway 017,A84,ULTM017-Morristown-Dr MLK
349,TN East Morristown - Crockett Trace 007,A93,ULTM007-Morristown-Crocke
348,TN Elizabethton 006,B50,ULTM006-Elizabethton-Over
344,TN Greeneville 002,A90,ULTM002-Greeneville-E And
345,TN Johnson City - Market St 003,A89,ULTM003-Johnson City-Mark
346,TN Johnson City - Oakland Avenue 004,A88,ULTM004-Johnson City-Oakl
347,TN Kingsport - E Stone 005,A85,ULTM005-Kingsport-E Stone
350,TN Kingsport - Minnich Trail 008,A86,ULTM008-Kingsport-Minnich
351,TN Piney Flats - Bristol Hwy 009,A96,ULTM009-Piney Flats-Brist
450,TN Seymour 035,B23,ULTM035-Seymour-E Macon
343,TN West Morristown 001,A91,ULTM001-Morristown-W Andr
360,Ultimate Shine Corporate,C50,ULTMHQ1-Morristown-W 1st
132,VA Annandale,A78,FLAG018-Annandale-Little
125,VA Ashburn Junction,A62,FLAG013-Ashburn-Junction
124,VA Ashburn Pipeline,A63,FLAG012-Ashburn-Pipeline
352,VA Bristol - Euclid Ave 010,A82,ULTM010-Bristol-Euclid
122,VA Chantilly,A52,FLAG010-Chantilly-Lee Jac
356,VA Christiansburg 014,A87,ULTM014-Christiansburg-N
112,VA Corp,C47,FLAGWH1-Sterling-Ladbrook
112,VA Corp,C48,FLAGHQ1-Herndon-Herndon
126,VA Dulles 28,A64,FLAG011-Sterling-Towlern
139,VA Fairfax (Embassy),B40,FLAG025-Fairfax-Fairfax
119,VA Gainesville,A53,FLAG007-Gainesville-Dave
133,VA Gainesville Lee Highway,A77,FLAG019-Gainesville-Lee
570,VA Haymarket (Top Shine),C01,FLAG044-Haymarket-John Ja
120,VA Herndon,A58,FLAG008-Herndon-Grant
130,VA Herndon (Clocktower),A71,FLAG016-Herndon-Centrevil
134,VA Leesburg (Station),B34,FLAG020-Leesburg-Catoctin
127,VA Manassas,A67,FLAG014-Manassas-Centrevi
140,VA Manassas (Embassy),B45,FLAG026-Manassas-Centrevi
362,VA Manassas Hoadly (Prestige),B49,FLAG031-Manassas-Hoadly R
141,VA McLean (Embassy),B44,FLAG027-McLean-Old Domini
452,VA Oaklawn,B96,FLAG037-Leesburg-Trimble
