DIM_LOCATION_ID,LOCATION_NAME,DIM_HR_LOCATION_ID,HR_LOCATION_NAME
12,Midtown,60255978580,Midtown
12,Midtown,60255978577,Midtown
12,Midtown,60255978579,Midtown
,,60255985458,Old Town
,,60255985462,Old Town
,,60255985464,Old Town
,,60255985459,Old Town
,,60255985461,Old Town
,,60255985463,Old Town
,,60255985460,Old Town
,,60255985457,Old Town
,,60255985455,Old Town
,,60255985416,Chicago
15,Scotts Hill,60255978466,Scotts Hill
15,Scotts Hill,60255978460,Scotts Hill
15,Scotts Hill,60255978462,Scotts Hill
15,Scotts Hill,60255978465,Scotts Hill
15,Scotts Hill,60255978464,Scotts Hill
15,Scotts Hill,60255978461,Scotts Hill
15,Scotts Hill,60255978467,Scotts Hill
15,Scotts Hill,60255978468,Scotts Hill
15,Scotts Hill,60255978463,Scotts Hill
25,Clayton,60256149130,Clayton
25,Clayton,60256149133,Clayton
25,Clayton,60256149135,Clayton
25,Clayton,60256149136,Clayton
25,Clayton,60256149129,Clayton
25,Clayton,60256149134,Clayton
25,Clayton,60256149132,Clayton
25,Clayton,60256149137,Clayton
25,Clayton,60256149131,Clayton
,,60255978433,PAW
,,60255978440,PAW
,,60255978435,PAW
,,60255978437,PAW
,,60255978441,PAW
,,60255978434,PAW
,,60255978439,PAW
,,60255978432,PAW
,,60255978436,PAW
,,60255978438,PAW
,,60255977727,PAW
9,South Loop,60255985610,South Loop
9,South Loop,60255985608,South Loop
9,South Loop,60255985609,South Loop
9,South Loop,60255985603,South Loop
9,South Loop,60255985606,South Loop
9,South Loop,60255985605,South Loop
9,South Loop,60255985602,South Loop
9,South Loop,60255985607,South Loop
9,South Loop,60255985604,South Loop
,,60255985023,PUPS
,,60255985413,PUPS
,,60255985022,PUPS
,,60255985411,PUPS
,,60255985409,PUPS
,,60255985414,PUPS
,,60255985410,PUPS
,,60255985020,PUPS
,,60255985412,PUPS
,,60255985415,PUPS
,,60255985021,PUPS
,,60255985408,PUPS
13,North Shore,60255978491,North Shore
13,North Shore,60255978560,North Shore
13,North Shore,60255978492,North Shore
13,North Shore,60255978495,North Shore
13,North Shore,60255978493,North Shore
13,North Shore,60255978494,North Shore
13,North Shore,60255978561,North Shore
13,North Shore,60255978490,North Shore
13,North Shore,60255978488,North Shore
,,60255977726,WagWay Learning
,,60255977723,WagWay Learning
,,60255977725,WagWay Learning
,,60255977724,WagWay Learning
,,60255985017,WagWay Group
,,60255985014,WagWay Group
,,60255985015,WagWay Group
,,60255985018,WagWay Group
,,60255985016,WagWay Group
,,60255985019,WagWay Group
1,Williamsburg,60255985636,Williamsburg
1,Williamsburg,60255985634,Williamsburg
1,Williamsburg,60255985638,Williamsburg
1,Williamsburg,60255985635,Williamsburg
1,Williamsburg,60255985630,Williamsburg
1,Williamsburg,60255985633,Williamsburg
1,Williamsburg,60255985632,Williamsburg
1,Williamsburg,60255985631,Williamsburg
1,Williamsburg,60255985637,Williamsburg
5,DoBro,60255985420,DoBro
5,DoBro,60255985421,DoBro
5,DoBro,60255985425,DoBro
5,DoBro,60255985422,DoBro
5,DoBro,60255985419,DoBro
5,DoBro,60255985418,DoBro
5,DoBro,60255985424,DoBro
5,DoBro,60255985417,DoBro
5,DoBro,60255985423,DoBro
10,Pawley's Island,60255978472,Pawley's Island
10,Pawley's Island,60255978474,Pawley's Island
10,Pawley's Island,60255978478,Pawley's Island
10,Pawley's Island,60255978470,Pawley's Island
10,Pawley's Island,60255978475,Pawley's Island
10,Pawley's Island,60255978473,Pawley's Island
10,Pawley's Island,60255978477,Pawley's Island
10,Pawley's Island,60255978471,Pawley's Island
10,Pawley's Island,60255978476,Pawley's Island
6,Lakeview,60255985445,Lakeview
6,Lakeview,60255985444,Lakeview
6,Lakeview,60255985451,Lakeview
6,Lakeview,60255985448,Lakeview
6,Lakeview,60255985446,Lakeview
6,Lakeview,60255985447,Lakeview
6,Lakeview,60255985450,Lakeview
6,Lakeview,60255985449,Lakeview
6,Lakeview,60255985452,Lakeview
15,Scotts Hill,60255985012,Scotts Hill
15,Scotts Hill,60255985010,Scotts Hill
15,Scotts Hill,60255985011,Scotts Hill
18,Citrus,60256149127,Citrus
