Type,Period,Addback_Amount
(21) Expenses related to the debt transaction,Nov-24,0
(22) Non-cash gains from sale of assets,Nov-24,-975000
(23) Non-cash gains unrelated to sale of assets,Nov-24,0
(04) Non-cash losses from asset dispositions,Dec-24,120000
(05) Equity compensation expense and impairment charges,Dec-24,291000
(06) Transaction costs related to loan,Dec-24,5088000
(07) Administrative agent fees related to loan,Dec-24,399000
(08) Management fees paid to Access Holdings and BOD fees,Dec-24,51000
(09) Purchase price adjustments; items covered by indemnification,Dec-24,0
(10) Costs related to permitted acquisitions,Dec-24,0
(10a) Costs related to permitted acquisitions - consummated,Dec-24,2000000
(10b) Costs related to permitted acquisitions - dead deals,Dec-24,1035000
(10) Costs related to permitted acquisitions,Dec-24,3035000
(13) Non cash items related to purchase accounting adjustments,Dec-24,0
(14) Synergies to be realized within 12 months,Dec-24,606000
(15) Pre-opening costs and start up fees,Dec-24,484000
"(16) Extraordinary items, restructuring costs, retention bonus, consulting",Dec-24,1596000
(18) Integration Expenses,Dec-24,416000
(19) Expense recorded in relation to earn-outs,Dec-24,27000
(20) Non cash charges related to swap contracts or FASB123 R,Dec-24,0
(21) Expenses related to the debt transaction,Dec-24,0
(22) Non-cash gains from sale of assets,Dec-24,-5391000
(23) Non-cash gains unrelated to sale of assets,Dec-24,0
